#{"t_start": 1784798019.2291753, "env_id": "None"}
r,l,t,success,landing_error_xy,has_fallen,task2_base_reward,task2_residual_l2
-64.41074,51,2.788421,False,0.28534534899911734,False,3.728254544108795,1.7977858901095545
-30.938583,51,2.788421,False,0.18333369945453307,False,10.94736343603299,2.050569050109916
-56.97175,53,2.797417,False,0.23507331185008737,False,3.829092400889461,1.9107802095480935
-64.761215,53,2.797417,False,0.4980406064553008,False,0.4244015320419279,1.5843333184891206
-64.7313,54,2.802418,False,0.5249851093139734,False,0.3984575353745792,1.3717173727619647
-64.637955,55,2.806422,False,0.39623237123097504,False,3.551720658777336,1.8199352314919657
-29.020538,57,2.815424,False,0.17993991683192,False,10.950249954491792,1.914402816560149
-64.45172,59,2.823422,False,0.3052393912440206,False,3.692454147443352,2.199965179282306
-64.38927,50,2.99447,False,0.2619611346350385,False,3.7764528522111855,1.0576295803102136
-64.770515,52,3.012475,False,0.460675894588483,False,0.4663886707655466,1.9430001674052713
39.084454,52,3.012475,True,0.06408600938058208,False,11.276991613969633,1.5415908678538115
-64.41142,52,3.025475,False,0.3067461665968281,False,3.683284797933859,2.1953482934549116
-64.82453,57,3.02948,False,0.8412282130712893,False,0.17535406539892595,1.5866509382848126
-64.40585,50,3.034473,False,0.32732739974885794,False,3.652440284568911,2.1893447356307147
-64.72203,55,3.048474,False,0.4040196752815566,False,0.538213034542712,2.3908249363320904
-64.79921,58,3.048474,False,0.5844551061996947,False,0.3414589363764306,1.414937598765423
26.218262,55,3.214061,True,0.08972350319381467,False,11.18895470995992,1.7462036972556174
6.9179516,56,3.233058,False,0.10832975544036214,False,11.126536165791784,1.9119346651698559
-20.046461,56,3.233058,False,0.16207846768300518,False,10.982379123542364,2.219894947177571
-48.39067,54,3.23805,False,0.21814690019919145,False,3.865007984753661,1.6895905144837178
-64.74328,55,3.23805,False,0.4558349226658418,False,0.4724502983101045,2.1384076415707787
-28.192322,58,3.257054,False,0.1782649145716337,False,10.953492170639656,2.1456212753820907
-64.43454,57,3.265058,False,0.2794822739251364,False,3.734151426907178,2.1116824505554694
-64.78001,63,3.287586,False,0.5192001551755797,False,0.40263869342297404,2.435482503048927
-44.341244,53,3.434115,False,0.20986016341831554,False,3.887414150838089,1.6541884488403071
-64.47747,49,3.43911,False,0.34191011657910647,False,3.631702316505582,1.6119935296885297
-64.74551,54,3.470124,False,0.6203410982547078,False,0.3132564426199219,1.4828281007805364
-64.34843,57,3.478649,False,0.25838378587227845,False,3.779214521037885,2.3262738732180677
-64.771126,57,3.483639,False,0.5904661678918341,False,0.33734876318304086,1.5702498424796796
-64.56559,56,3.506648,False,0.3493972468766884,False,3.6186609492930164,2.102355928675815
-64.54698,60,3.516646,False,0.38644707375732307,False,3.561967669134352,1.7866932521719876
-64.73184,52,3.516646,False,0.4284053618417236,False,0.5075651713441299,2.0331716723555817
-38.32064,53,4.405683,False,0.19823267068323294,False,10.910396599728216,2.3050041134157877
-61.809513,57,4.428686,False,0.24494403372195364,False,3.8080181601838197,1.9484903382972358
-36.744587,51,4.442686,False,0.19508691286747093,False,10.910409158957856,1.9381949878968998
-64.73594,54,4.453682,False,0.43945918544890866,False,0.489816122251088,2.0901996919089125
-44.72754,56,4.453682,False,0.21070724324916695,False,3.881583439599586,1.2574965931582018
-45.472507,57,4.501036,False,0.21230323110623808,False,3.872425537457,1.8592346527140953
-59.066196,57,4.50903,False,0.23940653661148187,False,3.8134510922923393,1.84836889349544
-40.74795,58,4.514024,False,0.20275327085612505,False,3.895959696055192,2.405852779567517
-57.810787,58,4.677082,False,0.23685338462962485,False,3.8181553871307816,1.8561165413365548
-64.340576,58,4.700097,False,0.26670282461379663,False,3.759581154272266,1.563141193665772
-64.490814,53,4.700097,False,0.2844071755580403,False,3.7336037248540777,2.0358081817787013
-64.75549,56,4.705088,False,0.4525562097700142,False,0.47919726906066984,1.3771301962015736
26.246546,55,4.710093,True,0.08982484980265239,False,11.189511069935872,1.929353558666114
-64.77062,55,4.756091,False,0.5228077729414108,False,0.40008308687551486,1.6556611566150268
-38.846165,55,4.766104,False,0.1993604464610351,False,3.9045204152103388,1.643019278388032
-48.543636,54,4.766104,False,0.21827512659603954,False,3.8631873209066976,2.3688174658601855
-64.75178,53,4.919139,False,0.43502662778268936,False,0.5007003910830387,1.572903459655599
-64.74794,54,4.948141,False,0.5023659509995787,False,0.42143774964115743,2.0217287881368087
22.813026,53,4.948141,True,0.09627894828820538,False,11.186721036886045,2.179879163191253
2.1236975,53,4.953147,False,0.11797834894806201,False,11.106481378910336,2.0323035898282216
8.7230425,55,4.953147,False,0.10446898986784556,False,11.161493807769249,1.6324533795756124
-64.39828,53,4.998668,False,0.2693684182622669,False,3.7591660698288525,1.8324638033257485
-64.726906,53,5.009669,False,0.4759430428115665,False,0.44745690720959425,2.297372546676425
-64.76054,54,5.014672,False,0.7210219295156239,False,0.24091835999378747,1.5551665889704187
-64.54937,51,5.139803,False,0.3941252443699423,False,3.5508273534356154,1.5064750988393651
-64.736115,53,5.173811,False,0.46762081956279755,False,0.46165899776165187,2.232237807708008
-64.79001,55,5.178327,False,0.5895749072752049,False,0.33570868897279466,1.624724823343182
-34.517124,56,5.182324,False,0.19133987653651993,False,10.92490468134198,1.5106388421899983
-64.73227,59,5.198326,False,0.4592146213645219,False,0.4687254891291769,1.8370235960778134
-64.382385,54,5.228323,False,0.35936826690591556,False,3.6035552342124246,1.5206245549174577
-64.75527,60,5.246328,False,0.5119944389566148,False,0.4091159118803535,2.1208038706328676
-62.00935,57,5.246328,False,0.24533956602358564,False,3.801647554438858,2.0868420855152383
-37.58427,56,5.374863,False,0.19680935435581187,False,10.906304212569243,1.865518644258062
-64.48851,50,5.38934,False,0.3120876648108528,False,3.681884822021268,1.9667525647763262
-64.53178,51,5.402341,False,0.37363559427465787,False,3.5843153285663596,1.8114932433509399
6.7491655,53,5.40734,False,0.10836200372742368,False,11.14796759400909,2.0429121127030125
-4.19674,57,5.442345,False,0.13055723505413094,False,11.068759898245878,2.12136277426984
24.47341,53,5.455341,True,0.09328195929921414,False,11.18485958301541,2.0433919199428394
-9.8862705,53,5.47435,False,0.1420463969959074,False,11.042164428130219,1.8871633444205973
-64.34967,55,5.480869,False,0.28541110199393444,False,3.729263261945904,2.007680837324279
-64.51592,56,5.800225,False,0.36468445510275915,False,3.5941458022311608,2.0726628507497415
6.788063,56,5.810221,False,0.1085892261226487,False,11.131179943856095,2.0199389092659854
-64.41295,57,5.824229,False,0.29451842139768514,False,3.7088191504084884,2.1099041624259613
-64.43667,58,5.834223,False,0.30988831100712466,False,3.685972249692127,1.791433216057308
-5.1003327,56,5.867242,False,0.13240899047850518,False,11.067246678297362,2.1447284350206117
-14.314612,52,5.877755,False,0.15049196341288998,False,11.030688051952755,2.1046789869848124
-64.75725,57,5.881755,False,0.5927149227762332,False,0.33513297546237925,1.7990085649053251
-64.668655,54,5.892751,False,0.41437908462738154,False,0.5258523912751488,1.103242177791364
-64.74737,49,5.990704,False,0.40429582848237117,False,0.539174301105704,2.285412875136302
-64.424446,51,6.029705,False,0.25617799070228964,False,3.79015907930016,1.8327410794522752
-64.78053,60,6.043706,False,0.45381841951663987,False,0.47670427530517867,1.6774239642857502
-64.79981,62,6.070713,False,0.5455283823343491,False,0.38024613837461885,2.1489320168014223
-13.133436,53,6.082231,False,0.14817108984721655,False,11.039336218977947,2.282529822853454
-64.434845,58,6.090235,False,0.29448694181227913,False,3.7125426313509906,1.764911727534039
57.461037,56,6.097236,True,0.02766176376237339,False,11.391072817000651,1.912128870624492
-64.424255,56,6.109236,False,0.33308589346139367,False,3.647370828292003,1.8104890041679191
-8.752173,55,6.20376,False,0.1394391384869052,False,11.05760522167276,2.0889144892680127
-0.2074148,57,6.25275,False,0.12259934554643102,False,11.094190889691152,2.225940045053335
-64.59715,57,6.262765,False,0.3998430958033565,False,0.543686390054561,1.419627715394685
-64.48231,55,6.278277,False,0.3370419255542477,False,3.6405713177278063,1.8582908846247828
-22.546465,52,6.286279,False,0.16657263153507718,False,10.99150489253692,2.231252770647727
-54.14275,50,6.286279,False,0.22946732764356867,False,3.8467091665411144,1.673569444983248
-64.75442,49,6.293281,False,0.4149672936265347,False,0.5251092250076751,1.1044892050358053
-64.76323,60,6.308273,False,0.7014605761422416,False,0.25463085034990013,1.8899281438288735
-64.52301,59,6.428801,False,0.4093939191746988,False,0.5331182578840935,1.6107007725096998
-64.80786,58,6.469817,False,0.5606560275331306,False,0.3617782971601806,2.2642428838973196
-64.741615,52,6.480316,False,0.4578356866193087,False,0.47300773844397925,1.7484798824829841
-64.34253,59,6.484322,False,0.28903275188603217,False,3.7226801208200873,1.8982773947968097
-58.084766,52,6.489316,False,0.23736558506796027,False,3.824665832900585,1.6156525275496978
-64.44135,56,6.489316,False,0.29455333910137194,False,3.7112574394806246,2.1411627083802576
-63.13896,57,6.499321,False,0.24742324253502498,False,3.801127984524935,1.7520564301665644
-64.373665,55,6.519322,False,0.24992230995109857,False,3.797350474996777,1.986148169310015
-64.44747,57,6.647858,False,0.3346403330556785,False,3.641850881455697,1.866860787920853
-64.77192,50,6.683381,False,0.5442522799876511,False,0.37839026401791953,2.0512925524339956
32.65554,56,6.693379,True,0.07730554445781555,False,11.224607109813835,2.1153963835007272
-64.49884,53,6.697378,False,0.34931253273028096,False,3.62227674493063,1.3746125314758402
-64.73055,53,6.906426,False,0.4798113666458596,False,0.4453935833776517,2.180740566565894
-31.26131,54,6.910428,False,0.18434664061680606,False,10.940377035273533,2.3837055847556856
-64.35396,54,6.921421,False,0.2773661694089265,False,3.7445960265393516,1.867502974552879
-64.41273,55,6.939422,False,0.391005453236703,False,3.5584381008726496,1.6178037213077507
-64.527534,55,7.047948,False,0.3209961045953548,False,3.666971900619977,2.2409639598155375
-64.33112,52,7.06895,False,0.27745547982481733,False,3.7430688468347455,2.121564265621065
-64.46726,53,7.093458,False,0.2797822731729747,False,3.7435793065433836,1.7683978505522842
-64.4218,55,7.094454,False,0.33176003517116753,False,3.6429524615958107,2.2790119269249445
-64.7413,54,7.094454,False,0.5035117072011418,False,0.4197807097523421,1.5129058309723977
-64.43568,51,7.098453,False,0.290782027178693,False,3.7153364767837425,2.1017211642118387
-62.714005,58,7.102462,False,0.24686411231759364,False,3.801418093598989,2.113075828801495
-3.8175077,56,7.137454,False,0.1298492043701996,False,11.077796332056352,2.33755029754521
-64.75169,54,7.25198,False,0.5186007345756943,False,0.4031551300663442,1.833809661000334
-31.92697,55,7.275985,False,0.18526730690439466,False,10.93985300356305,2.2604253176403137
-20.19815,54,7.29912,False,0.16225170705838785,False,10.99659013530293,1.726017469023867
38.630203,55,7.30612,True,0.06503801818067918,False,11.270765570509399,1.915307615309941
39.37305,56,7.320127,True,0.06352808184309473,False,11.274759660654441,1.9923772738840255
-64.488686,60,7.335121,False,0.32122608015110893,False,3.6649297847274074,2.3838603872636694
-64.55701,50,7.335121,False,0.34814160316146625,False,3.6217014368653846,1.6431175446625084
-64.823524,62,7.339123,False,0.7687641740889504,False,0.214010235507715,1.6392786902678718
5.5631394,58,7.498577,False,0.11118823145982844,False,11.128017443256388,1.9922270340770916
33.0368,55,7.509577,True,0.07613796974604875,False,11.22642978955993,2.2838951210611893
-21.729467,55,7.531578,False,0.1654023354127163,False,10.983724794863171,1.795685292175687
-64.423454,57,7.543577,False,0.2891438882050046,False,3.7218096485067185,2.0893711493309572
-64.53587,51,7.547579,False,0.3929130164288563,False,3.5540500500792644,1.9574295865531761
-64.38795,56,7.551578,False,0.33649020035958643,False,3.6380769277380627,2.3572979940744556
-0.14587381,55,7.559573,False,0.12261641968969011,False,11.094326116122806,1.4587923773437184
-64.50183,59,7.57558,False,0.39524812579000274,False,3.5513964002967384,2.1916447327410133
-64.439705,57,7.718503,False,0.2722108378706421,False,3.7540429488066676,2.227196103441723
-62.183697,56,7.725507,False,0.24560113577808249,False,3.8068332813933687,1.6100064928953601
-55.835358,51,7.729501,False,0.23289145014058,False,3.8358736421067423,1.603811232680274
-23.479235,52,7.749501,False,0.16878200955055986,False,10.985266290207528,1.2807399683595297
-64.728424,53,7.760508,False,0.5060201166682275,False,0.41791404104633595,1.5581848199714836
-64.491196,51,7.760508,False,0.30379475857561733,False,3.69409016903562,2.2939167830422007
-64.34287,56,7.765514,False,0.28625278907404056,False,3.7254795817598487,2.1273938836602335
-64.81129,59,7.810892,False,0.6902115006063202,False,0.26129166830949424,1.8431873146209288
-64.76445,54,8.158469,False,0.5568159725205022,False,0.36589407050151623,1.9005083497882913
-64.71552,55,8.169471,False,0.4626738150274898,False,0.4654140031070936,2.024171059545805
-64.72094,49,8.181994,False,0.41499305019806093,False,0.5310922389268499,1.2338232256138397
-64.76323,58,8.187003,False,0.5970327046350066,False,0.33265963458854764,1.8490474530144057
-64.77339,56,8.197006,False,0.616607334543419,False,0.3125614290095809,2.267010762483354
-29.358055,54,8.197006,False,0.18019332461692023,False,10.957983466705587,2.296161418950607
