policy,episode,seed,success,landing_error_xy_m,landing_x_m,landing_y_m,has_fallen,torso_tilt_deg,reward_sum
baseline,0,2026,True,0.012032954237389695,0.5467038197537045,-0.01157269128003706,False,3.137466324125546,65.56039100042673
baseline,1,2027,True,0.012821618821702024,0.5463537803367444,-0.012292232969493852,False,3.130064665183194,65.16581100482014
baseline,2,2028,True,0.011303041299943787,0.5470591232993912,-0.01091375218978565,False,3.1258360095816338,65.92567899628371
baseline,3,2029,True,0.010904749497839122,0.5474895057737635,-0.010611832092087388,False,3.1178286935076063,66.12512839514817
baseline,4,2030,True,0.0116018818807374,0.546929748781982,-0.011188262627988374,False,3.1318966458339923,65.77615182352285
baseline,5,2031,True,0.011463187396237948,0.5469894313457696,-0.011060792994149818,False,3.1286356438252736,65.84554182713957
baseline,6,2032,True,0.011123084355779418,0.5472064924504741,-0.010766583541519874,False,3.1215242042242246,66.01577019667806
baseline,7,2033,True,0.012132260382784017,0.5465801798742219,-0.011640299493698323,False,3.1373514390797985,65.51066867925543
baseline,8,2034,True,0.012488482552523198,0.5464097676634541,-0.011961288736348432,False,3.141672686774695,65.33244236176222
baseline,9,2035,True,0.012237606952706844,0.5465260110131139,-0.011734156315983391,False,3.138244172040479,65.45797233940677
baseline,10,2036,True,0.010786074269609303,0.5475894183346163,-0.01051325326357372,False,3.1132558827409973,66.18455085686337
baseline,11,2037,True,0.011014561877593284,0.5474145371539747,-0.010706818165410012,False,3.1192416935051095,66.07016647883292
baseline,12,2038,True,0.01124428760701872,0.5471149854143843,-0.010867874430179033,False,3.1246310245258884,65.95509916432466
baseline,13,2039,True,0.011039241712565227,0.5473042732520467,-0.010705041564085997,False,3.1166208745593145,66.05777368032533
baseline,14,2040,True,0.01118623505212843,0.5472156372161747,-0.01083416718209181,False,3.123079728760592,65.98418787531101
baseline,15,2041,True,0.011141767882312007,0.5471980104168854,-0.010783684246093102,False,3.1207344390888583,66.00642921579586
baseline,16,2042,True,0.011647447553405634,0.547025304980807,-0.011261182178267218,False,3.129726101186866,65.75339549924797
baseline,17,2043,True,0.010836698563249902,0.5475091054007178,-0.010546538761414063,False,3.1146089922457643,66.15918310589342
baseline,18,2044,True,0.011340390945188957,0.5470170651713053,-0.010941049611325401,False,3.126162866396284,65.90698121217852
baseline,19,2045,True,0.010773868352102518,0.5475653095251933,-0.010495166580875298,False,3.1124005365817773,66.19064121333034
baseline,20,2046,True,0.011551062777898403,0.5470822994991753,-0.011176496547954419,False,3.1283933817703455,65.80162576460754
baseline,21,2047,True,0.01152753933972063,0.5470080842204611,-0.011132502108553701,False,3.1291841364666286,65.81336642870973
baseline,22,2048,True,0.010824562606016087,0.5474992670847171,-0.01053173729723554,False,3.1110516747654353,66.1652531318925
baseline,23,2049,True,0.011949108081127015,0.5468001419689862,-0.011512692670084226,False,3.135169237956751,65.60238123785255
baseline,24,2050,True,0.011035667983878566,0.5473457950775517,-0.010711730209450439,False,3.1172860475725503,66.05958197618918
baseline,25,2051,True,0.011509318023085963,0.5470930682840983,-0.011136164032359437,False,3.1279168711592673,65.82251730260697
baseline,26,2052,True,0.011715132972985135,0.5468715667566737,-0.011289696453703887,False,3.1312090498088363,65.71944805051197
baseline,27,2053,True,0.010812084114183067,0.5474770744451046,-0.010513610680286079,False,3.1114778418428846,66.17148993792271
baseline,28,2054,True,0.011172377526039334,0.5471931679766772,-0.010814051672578507,False,3.123445478996722,65.9911067672134
baseline,29,2055,True,0.010873762920110299,0.5474317788100674,-0.010566123222939755,False,3.112990532480674,66.14060804794333
baseline,30,2056,True,0.010989512342916433,0.5474062190951358,-0.010679030019279561,False,3.118573573646651,66.08268708260314
baseline,31,2057,True,0.010742047941002517,0.5476189573613324,-0.010474837942404783,False,3.1124983500233436,66.20658518126834
baseline,32,2058,True,0.01145614779379007,0.5471332342019556,-0.01109166246025922,False,3.1265848217564276,65.84913627545676
baseline,33,2059,True,0.011439726669845758,0.546946868133376,-0.011024778096895426,False,3.1290803027679477,65.8572440174314
baseline,34,2060,True,0.010796336952244166,0.5475587130700107,-0.01051670146537668,False,3.1104417753734266,66.17941285783085
baseline,35,2061,True,0.011929363957715225,0.5466915196950437,-0.01146139967488051,False,3.1354130026291354,65.61220354943754
baseline,36,2062,True,0.01087595321906487,0.5475111914032699,-0.010587359925502178,False,3.1163660166616425,66.1395472686514
baseline,37,2063,True,0.012050061160846746,0.5468151812081496,-0.011621570601395657,False,3.1359271749208237,65.55189392670574
baseline,38,2064,True,0.011113416542484381,0.5472652038310023,-0.010771671976104766,False,3.1192558860645287,66.02065675160053
baseline,39,2065,True,0.011072407911277631,0.5473484562201275,-0.01075023406894672,False,3.1214196656491313,66.04119115586788
baseline,40,2066,True,0.012383728333842752,0.5463754856520252,-0.011841436702855965,False,3.1394208347378325,65.38483403718884
baseline,41,2067,True,0.010867233026583427,0.5474739910129011,-0.010569580514436737,False,3.1138779189735706,66.14390093001045
baseline,42,2068,True,0.011190645902912601,0.5472608573700622,-0.010850237480222819,False,3.123294562315774,65.98200457184053
baseline,43,2069,True,0.011728564402750297,0.5467909027714688,-0.011280998090917954,False,3.132328883407526,65.71269913071606
baseline,44,2070,True,0.011706917324232043,0.5468164163390988,-0.011265731592331105,False,3.131789560402615,65.72353900184723
baseline,45,2071,True,0.010778015618489671,0.547566027539343,-0.01049959040787642,False,3.1122585170596904,66.18857124462994
baseline,46,2072,True,0.011828708439630738,0.5467696625182205,-0.011379071275969817,False,3.133999293044576,65.66259190608433
baseline,47,2073,True,0.010936745969530948,0.5474526539146798,-0.010635950372376463,False,3.1143383504658093,66.10912157389058
baseline,48,2074,True,0.011976162867811049,0.5466536390591163,-0.011499145424320198,False,3.1366348991722894,65.58877858377897
baseline,49,2075,True,0.011296918024239967,0.547222457394337,-0.010950142187210361,False,3.1239251047448184,65.92882803793484
baseline,50,2076,True,0.011797389437062147,0.5467621379429879,-0.011344366303565244,False,3.1336304438224314,65.6782511960492
baseline,51,2077,True,0.010813143921814412,0.547556302473869,-0.010533395647874096,False,3.113161427710038,66.17099347700871
baseline,52,2078,True,0.011178200120416138,0.5471667472617705,-0.010813178850522458,False,3.122606110373193,65.98818300957223
baseline,53,2079,True,0.011338449977043835,0.5470769835916537,-0.01095520072652543,False,3.1262584644581493,65.90797827765373
baseline,54,2080,True,0.012056646000453489,0.5466777463878167,-0.011589881091563715,False,3.1381746774345682,65.54851682697831
baseline,55,2081,True,0.011798450752981474,0.5469149116668177,-0.011387961632662423,False,3.132612021356157,65.67780043285788
baseline,56,2082,True,0.011710982445181223,0.5469785962232429,-0.01131451408807025,False,3.131263566511032,65.72158459388896
baseline,57,2083,True,0.01079812869442663,0.547578119024185,-0.010523025983070873,False,3.1135249097088797,66.17851365865357
baseline,58,2084,True,0.01103689710344257,0.547359454450363,-0.010716371441503475,False,3.1188194665229663,66.058964178316
baseline,59,2085,True,0.011552144764556984,0.5471038307311179,-0.011183212965300447,False,3.1275987950252913,65.80110394324656
baseline,60,2086,True,0.01304742021938585,0.5462834080500126,-0.012506882851395366,False,3.1339942303830943,65.05282513457138
baseline,61,2087,True,0.01168085788063286,0.546918150031119,-0.011266971269904374,False,3.130985917342721,65.73662147747991
baseline,62,2088,True,0.011568783859731695,0.54692134515347,-0.011151620704145462,False,3.1315423942348066,65.79270114298805
baseline,63,2089,True,0.012838727899005503,0.5464100275614786,-0.012326598555780046,False,3.1309061905779942,65.15727380950088
baseline,64,2090,True,0.0112807852090678,0.5471835891417395,-0.010923550009525055,False,3.1248051442881115,65.93687563707056
baseline,65,2091,True,0.01218113173830009,0.5466227905541275,-0.011703607426111463,False,3.136275732668332,65.48624208867322
baseline,66,2092,True,0.0111042430940539,0.5472365446849595,-0.01075488397955171,False,3.120741802688813,66.02522113231824
baseline,67,2093,True,0.010667745306705471,0.5477004217105336,-0.010416944351360962,False,3.111053356192697,66.24379558281332
baseline,68,2094,True,0.012942571165961887,0.546364285702248,-0.012421422218534789,False,3.1336200395266873,65.1053063307527
baseline,69,2095,True,0.010726710782487615,0.5475795751487545,-0.01045006544240797,False,3.109545505936346,66.21424529825626
baseline,70,2096,True,0.011951951318667928,0.5467161008857807,-0.011491960099627805,False,3.138428583304662,65.60093528356008
baseline,71,2097,True,0.012368560575914527,0.5465136499437228,-0.011867040659118113,False,3.1390418003524387,65.39244915325486
baseline,72,2098,True,0.011516884775753869,0.5469083327508536,-0.011094152899547875,False,3.130401056677445,65.818632228998
baseline,73,2099,True,0.011393428184172036,0.5470513123732273,-0.011005246342885893,False,3.1275978796769124,65.88047118304294
baseline,74,2100,True,0.011625829350963032,0.546851626916719,-0.011191409876605567,False,3.1322984820227058,65.76412972787699
baseline,75,2101,True,0.012229345492028448,0.54658545322124,-0.011742987756915006,False,3.137283086380254,65.46211189664155
baseline,76,2102,True,0.012076345048263833,0.5467632724439738,-0.011634504907936001,False,3.1370369315518913,65.53871651946845
baseline,77,2103,True,0.010711652976285287,0.5476129316445961,-0.010442289698671966,False,3.1100052503796363,66.22178969166544
baseline,78,2104,True,0.010979677963724607,0.5473895596466977,-0.010664845491095983,False,3.1194534826494857,66.08759724354493
baseline,79,2105,True,0.010714013698855052,0.5476488894519258,-0.010452864140032997,False,3.112336073225618,66.22061974246805
baseline,80,2106,True,0.01147039736653749,0.5470622313945374,-0.011087810034764665,False,3.127723532795413,65.8419679631837
baseline,81,2107,True,0.011535131413462112,0.5470433265068106,-0.011149768543808954,False,3.1288252018282474,65.80957862346578
baseline,82,2108,True,0.01132517266127774,0.5470566130602379,-0.010935996028281573,False,3.125457930854026,65.91461338933058
baseline,83,2109,True,0.012628205495216472,0.5465397682688197,-0.012144890711568712,False,3.1270540117136423,65.26265110521648
baseline,84,2110,True,0.011667847937721076,0.5468526098358981,-0.011235328684675692,False,3.131835729202526,65.7431064812167
baseline,85,2111,True,0.011201724632911164,0.5472135892960778,-0.010849633640848715,False,3.1236939375755943,65.97643910927383
baseline,86,2112,True,0.01200330817165918,0.5466463348542501,-0.011525291196061029,False,3.1380022292479346,65.5751931828298
baseline,87,2113,True,0.01146311844060477,0.5470501824417603,-0.011077078168742585,False,3.1279648151885615,65.8456024440701
baseline,88,2114,True,0.011089591317609428,0.5473691279738035,-0.010773000880598457,False,3.122104859978935,66.03260919279333
baseline,89,2115,True,0.011703064324565903,0.5469184431116655,-0.011290071821245647,False,3.131073275883554,65.72551970386965
baseline,90,2116,True,0.010805734517483654,0.5475528130314593,-0.010524978593961228,False,3.11487076993755,66.17469295726681
baseline,91,2117,True,0.011844359941392367,0.546831318879369,-0.011412638712279315,False,3.133941696924478,65.65478476321461
baseline,92,2118,True,0.011936497642980676,0.5467444931733133,-0.011483973671263763,False,3.135535010893179,65.60866269340966
baseline,93,2119,True,0.012921788731590278,0.546336243450097,-0.012391509672630537,False,3.131325810770529,65.11569893881932
baseline,94,2120,True,0.011951283445358337,0.5467057283226603,-0.011488296222990307,False,3.137969177554852,65.60126332128024
