policy,episode,seed,success,landing_error_xy_m,landing_x_m,landing_y_m,has_fallen,torso_tilt_deg,reward_sum
baseline,0,2026,True,0.013065611070710246,0.545808559913771,-0.012375056470764818,False,3.134135067175275,65.04354004611054
baseline,1,2027,True,0.012899692690409558,0.5464890053583165,-0.012412694636261497,False,3.1337468676318374,65.12678181269305
baseline,2,2028,True,0.012691851131666518,0.5465916006536207,-0.01222562468931487,False,3.1291167768815775,65.23082863222922
baseline,3,2029,True,0.013175605488603668,0.5461963747392441,-0.012614634947831917,False,3.137490514878244,64.988638075411
baseline,4,2030,True,0.01350158981825242,0.5454682276902159,-0.012718331940652073,False,3.13865237867759,64.82532640688042
baseline,5,2031,True,0.010502873607937915,0.5477713226455965,-0.010263690918684539,False,3.105996475646994,66.32628139633975
baseline,6,2032,True,0.010412964281379234,0.5479171303695334,-0.010202523179476702,False,3.104073766100092,66.37133299627203
baseline,7,2033,True,0.014240843154122154,0.5453363866180699,-0.013455568511370681,False,3.1120257714366883,64.45557135961953
baseline,8,2034,True,0.013392745058508295,0.5460165177302524,-0.01278661367246248,False,3.1414890378915397,64.88000056006867
baseline,9,2035,True,0.01220223149874546,0.546778886138296,-0.011769404362112539,False,3.136528196583692,65.47576486052469
baseline,10,2036,True,0.010492278670079578,0.5479808812234472,-0.010296167784995482,False,3.105694619339006,66.33170833448897
baseline,11,2037,True,0.010156550472120463,0.548228409102803,-0.010000849123234437,False,3.0921619560983116,66.49978251888749
baseline,12,2038,True,0.013322944099854385,0.5461632382388328,-0.012758530427752636,False,3.1414408145061175,64.91490440404993
baseline,13,2039,True,0.011663910861677968,0.5466032120768506,-0.011158344339296725,False,3.1293237369131313,65.74500194164783
baseline,14,2040,True,0.009982520384889233,0.5484774176678932,-0.009865721275035344,False,3.083649723814968,66.58697238687138
baseline,15,2041,True,0.010078674310090508,0.5481170135598334,-0.009901213961683036,False,3.089968748439169,66.53864584606568
baseline,16,2042,True,0.014654534646050845,0.545138265889342,-0.01382457692407144,False,3.119864952376992,64.2485928727673
baseline,17,2043,True,0.009740263073942849,0.5486510634930127,-0.0096464032182846,False,3.0824564248823885,66.70821005365681
baseline,18,2044,True,0.013776369004166216,0.544989265816972,-0.012832805066936317,False,3.1280754237368544,64.68770175192678
baseline,19,2045,True,0.009685955824517084,0.5487518470289877,-0.009605199341786172,False,3.07688345106308,66.73543887396934
baseline,20,2046,True,0.013134110491787119,0.546091737678045,-0.012539152444773084,False,3.139643993277381,65.00930125884628
baseline,21,2047,True,0.011616825506009567,0.5470140575317745,-0.011226521385252037,False,3.1282449608868053,65.76869326477701
baseline,22,2048,True,0.009795504412897279,0.5485925254388523,-0.009693860018734126,False,3.0774365760609883,66.68056705746737
baseline,23,2049,True,0.01164664746646489,0.5462444664137721,-0.011024534670036057,False,3.11675563299144,65.7534338075287
baseline,24,2050,True,0.01150540058480028,0.5464133792918975,-0.010932080978154731,False,3.1216969238214474,65.82421054992706
baseline,25,2051,True,0.014483165799225522,0.544436885966598,-0.013372129741339677,False,3.1167706819596077,64.33392419374259
baseline,26,2052,True,0.01368947929585154,0.5455588893634121,-0.01294906868099531,False,3.143777628136081,64.73136986738571
baseline,27,2053,True,0.01066031362394031,0.5483555598354232,-0.010532715846632044,False,3.0932948572449983,66.24790725213181
baseline,28,2054,True,0.014144506660953467,0.5454496870627277,-0.013392599480856906,False,3.1144566380813394,64.50380280130344
baseline,29,2055,True,0.011214463517287677,0.5470412138344616,-0.010817105731534406,False,3.121118427008149,65.97001873605143
baseline,30,2056,True,0.01059766911607632,0.5479646367594552,-0.01040037918409115,False,3.1075125911969823,66.2789790165677
baseline,31,2057,True,0.010433044997699455,0.5477095011069739,-0.010178508866482737,False,3.1066580512441977,66.3611697953608
baseline,32,2058,True,0.011156355890864037,0.5468325699039975,-0.010697273641005648,False,3.1202418078035983,65.9989657878503
baseline,33,2059,True,0.011729652828114171,0.5466908717835396,-0.011253196253292307,False,3.131329019079134,65.71210514028068
baseline,34,2060,True,0.010237280545454384,0.5483036924742757,-0.010095764148617464,False,3.094238610459362,66.45944112913625
baseline,35,2061,True,0.010684807717154996,0.5477277596184227,-0.01044040418762148,False,3.1119038114553352,66.2352729522701
baseline,36,2062,True,0.012203454693889008,0.5469861283053928,-0.011825433771082021,False,3.1395480101889626,65.47522910213446
baseline,37,2063,True,0.014916652455146348,0.5446612403683397,-0.013928537829326447,False,3.126736866495556,64.11725837933524
baseline,38,2064,True,0.010041327239780861,0.5482085834784897,-0.009880236818154956,False,3.0878243819595452,66.55737605929026
baseline,39,2065,True,0.009412995465517205,0.5489796775682041,-0.009357533102747832,False,3.070396617559576,66.87206150826582
baseline,40,2066,True,0.01142155757720285,0.5468381868125343,-0.010975195435933126,False,3.1302769730612163,65.86628617636053
baseline,41,2067,True,0.010895306568344048,0.5475160964374779,-0.010608389524819059,False,3.1167213066216677,66.12986181776058
baseline,42,2068,True,0.010862642190747916,0.5475423191445304,-0.010580964047612811,False,3.1161917366067584,66.14621594311095
baseline,43,2069,True,0.010477650656342891,0.5483292816450762,-0.010343590452782015,False,3.087897296051035,66.33924372251458
baseline,44,2070,True,0.014466346182626695,0.5448789511592391,-0.01352959831798931,False,3.106567511201305,64.34263455215576
baseline,45,2071,True,0.011217806484807358,0.5469665023373903,-0.010799864548295375,False,3.119839483483227,65.96823962735297
baseline,46,2072,True,0.01006415269584866,0.5483096932748518,-0.0099211910908054,False,3.0886550560552273,66.5460210087962
baseline,47,2073,True,0.012956540307787244,0.5460590831855692,-0.012342654147672273,False,3.1280413403696445,65.09821917234345
baseline,48,2074,True,0.013042352412566308,0.5455471996278745,-0.012258691826600929,False,3.123098351051622,65.05509539440945
baseline,49,2075,True,0.00960684429578175,0.5487587517876678,-0.009526319341633274,False,3.0789687453770145,66.77500437516139
baseline,50,2076,True,0.014588247933019218,0.545073709311048,-0.013731301387821339,False,3.127449937146762,64.28165689644895
baseline,51,2077,True,0.0126213303683123,0.5466753937828133,-0.012175589257474374,False,3.1298070417089057,65.26612441826018
baseline,52,2078,True,0.011865080821558752,0.5463309796732501,-0.011283546993034448,False,3.1306519792092784,65.64432344544733
baseline,53,2079,True,0.009644253993934563,0.5487381816451705,-0.00956135186775061,False,3.0757596233943043,66.7562806634828
baseline,54,2080,True,0.010558737452543062,0.5473071458378092,-0.010209577515887067,False,3.1024386443028313,66.29809976572693
baseline,55,2081,True,0.014418072263002197,0.5440040841880971,-0.013112200477331235,False,3.1224574233517206,64.36635440104884
baseline,56,2082,True,0.010939877138103843,0.5474892099861685,-0.010647856371272609,False,3.1185011240798337,66.10755358091151
baseline,57,2083,True,0.01080723357757071,0.5479232141471185,-0.01060581246870993,False,3.1100674483227966,66.17414640905301
baseline,58,2084,True,0.009951932559092855,0.5483834373120458,-0.009819760014208416,False,3.083390663001387,66.60220324276976
baseline,59,2085,True,0.011636097062622044,0.5472031221008438,-0.011294964757270052,False,3.131213919998056,65.75914222827896
baseline,60,2086,True,0.01168522698737979,0.5468357915542146,-0.011248658349252542,False,3.133525717843043,65.73441308757313
baseline,61,2087,True,0.015140541861599292,0.5446986669081471,-0.014182096999811593,False,3.1200440484931824,64.00535821583638
baseline,62,2088,True,0.010752227140096935,0.5474065300334692,-0.010434764108734777,False,3.106633544662295,66.20142196707889
