#{"t_start": 1785051337.3710253, "env_id": "None"}
r,l,t,success,hoop_xy_error,has_fallen,smoothness_penalty
-2.360569,430,3.138976,False,0.2635981611824715,False,0.4142207525077036
-2.6949973,431,3.142974,False,0.2866966841063394,False,0.32640740308206434
8.108258,520,3.467124,True,0.05406667043600451,False,0.24579539770466302
8.103759,520,3.467124,True,0.07440017534133102,False,0.3536239851887817
-3.6395316,424,4.569412,False,0.19417235247305495,False,0.18733296373996766
-5.3323994,430,4.587413,False,0.14703754427863835,False,0.2590454115830772
-4.1723146,423,4.899606,False,0.28914294600015567,False,0.3375811283558444
-3.545326,424,4.904606,False,0.19091915130220682,False,0.4350004933843973
-5.0279474,423,6.444855,False,0.3699106995244309,False,0.009780197398447142
8.22825,520,7.299489,True,0.08280940970774392,False,0.09374008270159773
9.495879,520,8.085519,True,0.03882363401490357,False,0.3455939655043717
9.45878,520,8.094519,True,0.03458662554808795,False,0.3479996159610681
-13.98001,435,10.34544,False,0.6262273347858014,False,12.268704270908847
-20.481703,435,11.214145,False,0.646931721500096,False,13.262130419119558
-28.184404,435,12.096386,False,0.5974843474782305,False,14.75397947629908
-28.443933,435,12.108386,False,0.6033601858995771,False,14.842027897182994
-48.025215,436,14.523577,False,0.6870045169522732,False,12.11819808782698
-48.542133,435,15.415155,False,0.8131716861489563,False,12.723722104285777
-48.813457,435,16.342076,False,0.7955532915886603,False,13.465993944024309
-48.980343,435,16.350076,False,0.7743597615031408,False,13.475349451537452
-62.346245,435,18.804986,False,1.5298831628659344,False,17.680771512454697
-65.945564,433,19.719251,False,1.034155720263544,False,16.449941247609704
-68.415596,434,20.645228,False,1.0187165591838614,False,14.2507053263899
-69.74393,436,20.653741,False,1.360240763258866,False,14.995252757488426
-60.91093,436,23.12115,False,0.7903774996137696,False,11.448098137223694
-58.489033,435,24.015206,False,1.0117633249254432,False,11.17359445371476
-54.267902,436,24.943185,False,0.7988644407848523,False,10.382502188557615
-53.915325,437,24.959695,False,0.643874048404068,False,10.25200164362817
-47.61368,429,27.339116,False,0.25303117159545263,False,9.993964547880964
-47.117653,429,28.210712,False,0.3338234929342457,False,10.337475892380303
-47.64397,430,29.143626,False,0.23585582039012035,False,10.16878210936542
-47.2857,430,29.166132,False,0.2352860695247289,False,10.244648209535994
-53.55977,430,31.600327,False,0.26070948721942905,False,10.94861682269457
-53.48699,430,32.468973,False,0.2886676764968896,False,11.498634320401825
-57.80389,431,33.41112,False,0.29869791642103244,False,11.520369178921158
-57.78873,431,33.430118,False,0.2899857837708345,False,11.445992453610682
-57.679806,430,35.872732,False,0.262136192580365,False,11.959132268694212
-58.14524,428,36.740513,False,0.2740761203680658,False,11.6278840319884
-58.038372,429,37.703655,False,0.24529093735859372,False,12.19799648261615
-57.939198,428,37.71365,False,0.2413494318990314,False,11.73648081055453
-59.290894,427,40.095132,False,0.3622317695138972,False,11.23974392466221
-57.537376,428,40.969362,False,0.2572919799665257,False,10.548244581245417
-54.13978,429,41.962523,False,0.23836712873974564,False,10.559035692061533
-54.196133,429,41.971525,False,0.23401744368034366,False,10.062117481489151
